Tail_Number,Aircraft_Type
JA830J,B788
VN-A896,A359
VN-A392,A321
VN-A227,A321
VN-A630,A321
VN-A631,A321
VN-A633,A321
VN-A698,A321
JA902A,B78X
VN-A335,A321
VN-A666,A320
HS-BBX,A20N
VN-A397,A321
VN-A610,A321
VN-A650,A320
VN-A629,A321
VN-A645,A321
TC-LLC,B789
VN-A353,A321
RP-C4156,A320
VN-A669,A320
VN-A280,A321
RP-C4105,A320
VN-A608,A321
VN-A339,A321
VN-A890,A359
VN-A817,A333
VN-A671,A320
VN-A129,A321
VN-A395,A321
VN-A899,A359
VN-A632,A321
VT-CIM,A20N
VN-A585,A321
9M-AGE,A20N
VN-A820,A333
VN-A886,A359
VN-A642,A321
VN-A888,A359
VN-A874,B78X
VN-A667,A321
9M-MXI,B738
HS-TXU,A320
VN-A515,A20N
VN-A648,A321
9V-SCM,B78X
VN-A526,A21N
VN-A622,A21N
A7-BAN,B77W
VN-A641,A321
B-LRR,A359
VN-A814,A333
PK-BBK,B739
VN-A534,A21N
VN-A603,A321
VN-A500,A21N
XU-350,A321
VN-A663,A320
9H-MLW,A320
VN-A812,A333
VN-A327,A321
VN-A359,A321
VN-A282,A21N
VN-A544,A321
B-6705,A320
VN-A637,A321
VN-A699,A320
VN-A877,B78X
VN-A323,A321
XU-610,AT76
VN-A580,A21N
VN-A604,A321
HS-EAB,A21N
VN-A865,B789
VN-A689,A320
VN-A891,A359
VN-A668,A320
VN-A670,A321
VN-A279,A321
VN-A393,A321
9M-AGB,A20N
VN-B219,AT75
A6-EXE,A359
B-58208,A21N
VN-B218,AT75
VN-A653,A21N
B-18901,A359
VN-A635,A321
VN-A289,A321
9V-TRU,A320
VN-A396,A321
VN-A326,A321
VN-A647,A321
VN-A873,B78X
VN-A613,A321
VN-A646,A21N
VN-A338,A321
VN-A354,A321
VN-A508,A21N
9M-MXN,B738
B-6249,B738
VN-A390,A321
B-321Z,A21N
9V-SML,A359
VN-A358,A321
VN-A879,B78X
VN-A611,A321
B-16728,B77W
VN-A693,A21N
VN-A516,A21N
VN-A656,A320
9V-NCD,A21N
VN-A872,B78X
VN-A869,B789
VN-B225,AT75
VN-A898,A359
VN-B223,AT75
VN-A639,A321
B-6661,A321
VN-A324,A321
VN-A336,A321
HL8558,A21N
VN-A868,B789
XU-353,A320
VN-A136,A320
VN-A684,A321
9M-AQP,A320
9M-AHZ,A320
B-32ET,A20N
VN-A545,A21N
VN-A862,B789
VN-A550,A21N
B-16716,B77W
A7-BCK,B788
B-5533,B738
HL8399,A21N
9V-SHC,A359
ER-00011,A320
B-301V,A21N
B-58502,A359
B-HNE,B773
VN-A815,A333
B-18665,B738
B-18903,A359
B-652G,AJ27
9M-MXH,B738
VN-A816,A333
VN-A811,A333
9M-AGU,A320
VN-A578,A21N
JU-1410,A320
HS-TXT,A320
HS-CBK,A20N
RP-C9936,A21N
9M-AGT,A320
