Tail_Number,Aircraft_Type
B-MBT,A21N
VN-A326,A321
N632UP,B748
VN-A676,A320
HL8575,B78X
VN-A687,A321
VN-A363,A321
VN-A547,A21N
PK-BBK,B739
TC-LGK,A359
VN-A393,A321
VN-A548,A21N
HS-KMD,B738
VN-A671,A320
B-LIC,B744
VN-A284,A21N
B-9917,A320
D-ACVG,A333
VN-A662,A320
VN-A399,A321
VN-A538,A21N
ER-00005,A320
VN-A398,A321
VN-A877,B78X
HS-EAB,A21N
VN-A280,A321
VN-A332,A321
VN-A515,A20N
VN-A873,B78X
XY-ALO,E190
VN-A689,A320
VN-A643,A321
VN-A812,A333
VN-A815,A333
VN-A289,A321
B-9981,A320
VN-A395,A321
VN-A677,A321
VN-A878,B78X
VN-A523,A21N
HS-TXO,A320
VN-A227,A321
VN-A622,A21N
B-305D,A20N
VN-A899,A359
B-1755,B738
VN-A663,A320
B-LPV,A320
B-32GG,A20N
B-223A,B77L
VN-A508,A21N
VN-A685,A321
VN-A647,A321
VN-A616,A21N
B-HNF,B773
VN-A542,A321
HS-CBH,A20N
XU-353,A320
VN-A539,A21N
RDPL-34228,AT76
VN-A625,A21N
VN-A864,B789
A7-BHB,B789
B-32KT,A21N
VN-A545,A21N
VT-IPU,A20N
VN-A879,B78X
VN-A637,A321
VN-A623,A21N
VN-A693,A21N
9V-MBP,B38M
B-17805,B78X
VN-A279,A321
VN-A699,A320
B-58211,A21N
B-8495,A321
VN-A596,A20N
VN-A632,A321
VN-A866,B789
VN-A872,B78X
VN-A896,A359
VN-A641,A321
VN-A512,A21N
B-18120,A21N
VN-A544,A321
RDPL-34199,A320
VN-A338,A321
VN-A604,A321
VN-A893,A359
VN-A514,A20N
VN-A650,A320
VN-A136,A320
9H-MLW,A320
TC-LJT,B77L
VN-A397,A321
VN-A861,B789
B-6687,A321
B-6690,A320
VN-A535,A321
B-1303,B738
VN-A820,A333
VN-A501,A21N
B-301J,A20N
B-5756,B738
HS-ABY,A320
VN-A324,A321
VN-A281,A21N
9M-RAW,A320
B-8979,A321
VN-A356,A321
VN-A334,A321
B-226T,B738
VN-A811,A333
VN-A537,A21N
VN-A890,A359
VT-IPO,A20N
RP-C8765,A333
B-1423,B763
9M-LRU,B38M
B-1478,B738
HL8360,A359
B-326D,A21N
VN-A668,A320
JU-1410,A320
9M-MXN,B738
B-16727,B77W
9V-SHQ,A359
HS-BBV,A320
B-6791,A321
HL8556,A21N
VN-A648,A321
B-18316,A333
VN-A865,B789
VN-A357,A321
B-30A8,A20N
VN-A526,A21N
B-HNP,B773
VN-A396,A321
XU-356,A320
VN-A886,A359
VN-A674,A21N
VN-A810,A333
HS-TXF,A320
VN-A644,A321
VN-A129,A321
VN-A817,A333
VN-A605,A321
A7-BFY,B77L
9V-OFN,B788
HS-CBL,A320
B-KKI,A21N
VN-A611,A321
VN-A867,B789
LX-VCG,B748
JA02RX,B505
9M-AHL,A320
TC-LLU,B789
VN-A580,A21N
B-6955,A320
A7-BHF,B789
VN-A489,FA8X
RP-C4118,A21N
B-303W,A21N
VN-A999,FA8X
B-656E,AJ27
D-AALE,B77L
A6-BNA,B789
A6-DDC,B77L
HL7605,B744
B-LNV,A332
VN-A585,A321
HL7423,B744
B-652G,AJ27
A7-BFU,B77L
9M-WWA,B738
VN-A329,A321
VN-A673,A321
HL7507,B763
HL7602,B744
HL8503,B738
B-6860,A320
B-8337,A320
B-1316,B738
RP-C8764,A333
HL8554,B38M
RP-C4147,A21N
N740CK,B744
N609UP,B748
VN-A889,A359
HL8047,B738
A6-ENF,B77W
VN-A649,A321
JA836A,B789
N760GT,B77L
VN-A863,B789
B-LIA,B744
HL7578,A359
B-220L,B738
JA619J,B763
VN-A891,A359
VN-A862,B789
B-KKC,A21N
HL8538,B78X
VN-A898,A359
N109FE,B763
XY-ALP,E190
B-207T,B38M
VN-A636,A321
VN-A327,A321
VN-A503,A21N
TC-LGL,A359
VN-A325,A321
VN-A546,A21N
HS-EAF,A21N
VN-A353,A321
VT-AFO,B738
VN-A601,A321
B-32DC,A20N
LX-VCD,B748
VN-A331,A321
VN-A516,A21N
B-325D,A20N
A6-BLW,B789
B-6776,A320
B-5618,B738
B-221W,B77L
VN-A602,A321
A7-BHE,B789
B-32KD,A21N
B-16218,A321
VN-A869,B789
9V-MBO,B38M
VN-A635,A321
VN-A874,B78X
VN-A653,A21N
VN-A608,A321
B-6883,A321
B-18660,B738
VN-A672,A320
VT-IFM,A320
HS-BBB,A320
TC-LJM,B77L
N430GT,B744
B-5706,B738
B-1788,B738
B-6625,A321
HS-CBG,A20N
VN-A656,A320
B-9952,A320
B-1640,A321
B-6691,A320
9M-AGZ,A320
VN-A642,A321
VN-A888,A359
ET-ASG,B788
VN-A578,A21N
ET-BAB,B77L
B-32CD,A21N
B-1476,B738
VN-A525,A21N
9M-MXC,B738
HS-ABJ,A320
9V-SHI,A359
B-16728,B77W
HL8589,A21N
B-8502,A321
B-18110,A21N
B-322F,A20N
9M-AGA,A20N
B-HNX,B773
B-58202,A21N
B-5439,B738
VN-A698,A321
A6-EFU,B77L
VN-A870,B789
HS-TXJ,A320
9V-OFA,B788
TC-LJU,B77L
B-8409,A320
B-KKE,A21N
HS-ABM,A320
B-8326,A320
A7-BHP,B789
RP-C4122,A21N
A7-BFX,B77L
B-1845,A321
B-LNX,A332
B-18717,B744
VN-A390,A321
HL7646,B744
N768CK,B744
A7-BDA,B788
HL8338,B738
B-205X,B738
B-1537,B738
B-8079,A320
HL8592,B38M
A6-DDD,B77L
JA604F,B763
VT-IKW,A321
HL8086,B738
JA876A,B789
A6-EPE,B77W
JA606J,B763
VN-A892,A359
VN-A522,A321
N126FE,B763
B-LIE,B744
HL8392,B789
TC-LGP,A359
B-18720,B744
VN-A658,A320
VN-A666,A320
VN-A513,A20N
B-30CX,A20N
B-8892,A320
B-LNW,A332
VN-A645,A321
HS-TXM,A320
B-32FY,A20N
VT-AFN,B738
VN-A528,A21N
A6-BNB,B789
B-5778,B738
VN-A336,A321
B-LPD,A320
VN-A814,A333
VN-A657,A321
B-6942,A321
A7-BHC,B789
9V-MBI,B38M
VN-A552,A21N
B-32L9,A21N
VN-A630,A321
VN-A323,A321
B-16227,A321
B-18662,B738
VT-ISS,A20N
HS-BBL,A320
VN-A505,A21N
VN-A507,A21N
B-32H3,A20N
B-7821,B738
VN-A634,A321
B-7590,B738
B-6783,A320
9M-AJT,A320
VN-A640,A321
B-8576,A321
B-6286,A320
ET-ARE,B788
VN-A669,A320
RP-C9926,A321
XU-350,A321
B-7750,B738
VN-A488,FA8X
9M-LRF,B38M
HL8381,A359
B-32A1,A21N
B-16720,B77W
B-18108,A21N
9M-MXV,B738
9V-SHF,A359
B-6885,A321
B-58212,A21N
HS-ABW,A320
HL8531,A21N
B-2475,B744
B-301W,A20N
B-HNE,B773
HS-TXQ,A320
B-8219,A320
HS-CBM,A320
9M-AJJ,A320
B-6621,A320
A7-BHN,B789
TC-JCI,A332
TC-LLM,B789
RP-C4146,A21N
VN-A868,B789
VCG-8982,C212
B-6251,A320
HL7616,B744
N633UP,B748
VN-A339,A321
N712CK,B744
VN-A816,A333
VN-A661,A321
XY-ALY,A319
RP-C8763,A333
HL8319,B738
B-8957,A321
RP-C4111,A321
B-1908,B738
HL8524,B38M
JA601F,B763
PK-GTG,A20N
B-226X,B763
JU-1188,A319
HL8378,B738
A6-EPG,B77W
B-5137,B738
N117FE,B763
HL8362,A359
9M-KXD,B738
HL8390,B789
N104FE,B763
VN-A633,A321
B-18722,B744
B-6975,A320
B-222C,B763
VN-A871,B789
D-AJFK,A333
B-32M2,A20N
B-8846,A320
B-32FU,A20N
B-LPN,A320
B-226V,B77L
B-5401,B738
B-HNS,B773
VN-A534,A21N
